,Unnamed: 0,url,title,source
0,0,/09000/09016,"""...hanem vagyok Úristen követje...""A téli ünnepkör dramatikus szokásaiból",mek.oszk.hu
1,1,/23100/23162,"""A semmi ágán"" 2022",mek.oszk.hu
2,2,/12300/12365,"""A való világ varázsainak mérnöke...""",mek.oszk.hu
3,3,/25800/25829,"""Az élet napos oldala""",mek.oszk.hu
4,4,/12200/12243,"""Kiöntött a Bódva vize messzire...""",mek.oszk.hu
5,5,/08100/08121,"""Közösen - könnyebben""",mek.oszk.hu
6,6,/23800/23814,"""Megáldott a csíksomlyói Szűz Mária""",mek.oszk.hu
7,7,/25800/25830,"""Mindennap egy próza az orvost távol tartja""",mek.oszk.hu
8,8,/08000/08097,"Те: Страницы одного журналаIn memoriam Nyugat, 1908-1919",mek.oszk.hu
9,9,/15100/15160,Ŝercoj,mek.oszk.hu
10,10,/10100/10112,"...Szabadok, szabadon... 1.",mek.oszk.hu
11,11,/12100/12198,"...Szabadok, szabadon... 2.",mek.oszk.hu
12,12,/19600/19641,1150 apeva,mek.oszk.hu
13,13,/19600/19640,1150 haiku,mek.oszk.hu
14,14,/04600/04628,1848/49 és ami utána következett...Válogatott dokumentumok a Kalocsai Érseki Levéltár 1848-1851 közötti anyagából,mek.oszk.hu
15,15,/21400/21474,2001: science + fictionA C3 alapítvány médiaművészeti rendezvénysorozata,mek.oszk.hu
16,16,/07300/07333,50 éves találkozó és az Exodus,mek.oszk.hu
17,17,/08200/08215,A József cs. és kir. főherczeg ő fensége védnöksége alatt 1899. évi szept. hó 13-17. napjaiban tartott Nemzetközi Gyermekvédő Kongresszus naplója,mek.oszk.hu
18,18,/09800/09861,A jövedelmen kívüli tényezőkben megnyilvánuló gyermekszegénység és kirekesztődés,mek.oszk.hu
19,19,/22400/22405,A természetben méljen béoltatott és az Istentöl-is ... parantsoltatott ... tzimere az az olly ... prédikátziok ...,mek.oszk.hu
20,20,/21600/21628,"A' valoságos keresztyéni virtusoknak eleven példája, avagy A' néhai ... malomvizi Kendeffi Gábor... tanu-bizonyság tétele ...",mek.oszk.hu
21,21,/20800/20813,Álnokság nélkül valo igaz izraélita és egyszer'smind ... igaz lelkü keresztény heros az az néhai méltóságos született grof idösb' bethleni Bethlen Lajos ur ö nagysága,mek.oszk.hu
22,22,/21600/21635,"Bánatra adatott bánat, mellyet, néhai ... Kemény Kata ur-aszszonynak ... élete' hüséges párjának, és ez elött nem sok idövel el-költözött ... Bánffi Judit kis-aszszonynak, mint szerelmes leányának, halálokon ...",mek.oszk.hu
23,23,/23400/23410,"Disputatio theologica, continens introductionem ad philologiam sacram, quam ... sub praesidio D. Gisberti Voetii ... ventilandum proponit, Iohannes Tsere Apatzai Transylvanus",mek.oszk.hu
24,24,/22200/22225,"Egyházi törvénykönyv, mely a Komjáthiban készült öt osztályú kánonokot, és a Dunántúli Helv. Hitv. Evang. Egyházkerület szabályrendeleteit foglalja magában",mek.oszk.hu
25,25,/22400/22497,"Egyházi-beszéd, melly Nagy B. Asszony' ünnepén a' Leopoldína Intézetének hathatósabb ajánlása végett számos keresztény katolikus hívek' jelenlétében tartatott...",mek.oszk.hu
